OrderUuid,Exchange,Type,Quantity,QuantityRemaining,Limit,CommissionPaid,Price,PricePerUnit,Opened,Closed,IsOpen,Order Duration
db23f989-7772-49c9-bf7f-8066d351e707,USD-BTC,LIMIT_BUY,0.00061717,0.00061717,8102.29,0.0,0.0,,2019-11-21 05-AM-43,2000-01-01 12-AM-00,True,31.121232
a9a8479c-149b-4d63-afd9-4b6343fbfc2e,USD-BTC,LIMIT_BUY,0.00061717,0.00061717,8102.29,0.0,0.0,,2019-11-21 05-AM-43,2000-01-01 12-AM-00,True,30.786601
d5f09ec2-b5c6-4306-b363-a38a6fa44ce0,USD-BTC,LIMIT_BUY,0.00061717,0.00061717,8102.29,0.0,0.0,,2019-11-21 05-AM-44,2000-01-01 12-AM-00,True,31.553139
20270eb4-5d5c-4723-9c00-faf21748e159,USD-BTC,LIMIT_BUY,0.00061717,0.00061717,8102.29,0.0,0.0,,2019-11-21 05-AM-44,2000-01-01 12-AM-00,True,31.250292
4b448433-6192-4f88-9abd-fef3ae8ab0a8,USD-BTC,LIMIT_BUY,0.00061717,0.00061717,8102.29,0.0,0.0,,2019-11-21 05-AM-45,2000-01-01 12-AM-00,True,31.240517
4df4b2e6-c89e-41f6-bae4-ef473f9b50be,USD-BTC,LIMIT_BUY,0.00061717,0.00061717,8102.29,0.0,0.0,,2019-11-21 05-AM-45,2000-01-01 12-AM-00,True,31.289842
e1abf436-1433-4649-beda-f7bec715a02c,USD-BTC,LIMIT_BUY,0.00061717,0.00061717,8102.29,0.0,0.0,,2019-11-21 05-AM-46,2000-01-01 12-AM-00,True,31.363325
43c304d0-5d39-4e47-ac52-7edc6f4f70ae,USD-BTC,LIMIT_BUY,0.00061717,0.00061717,8102.29,0.0,0.0,,2019-11-21 05-AM-46,2000-01-01 12-AM-00,True,31.007292
b7dfe1dd-d8f4-401c-8a46-6e6b59b42c6f,USD-BTC,LIMIT_BUY,0.00061707,0.0,8103.491,0.012500399999999998,5.00016325,8103.0729901,2019-11-21 05-AM-47,2019-11-21 05-AM-47,False,3.066687
4f7f486c-5439-43a1-8221-e4902fdd7622,USD-BTC,LIMIT_SELL,0.00061704,0.0,8102.263000000001,0.01249919,4.99967828,8102.68099313,2019-11-21 05-AM-47,2019-11-21 05-AM-47,False,2.884463
